"ChEMBL ID";"Name";"UniProt Accessions";"Type";"Organism";"Compounds";"Activities";"Tax ID";"Species Group Flag"
"CHEMBL3463";"Human immunodeficiency virus type 2 integrase";"P89582";"SINGLE PROTEIN";"Human immunodeficiency virus 2";"5";"8";"11709";"False"
"CHEMBL2632";"HLA class I histocompatibility antigen A-3";"P04439";"SINGLE PROTEIN";"Homo sapiens";"151";"152";"9606";"False"
"CHEMBL2176854";"Macrophage mannose receptor 1";"P22897";"SINGLE PROTEIN";"Homo sapiens";"6";"8";"9606";"False"
"CHEMBL613715";"Human adenovirus type 2";"";"ORGANISM";"Human adenovirus 2";"196";"216";"10515";"False"
"CHEMBL613127";"Human respiratory syncytial virus";"";"ORGANISM";"Human respiratory syncytial virus";"204";"212";"11250";"False"
"CHEMBL612549";"Human rhinovirus 72";"";"ORGANISM";"Human rhinovirus 72";"6";"7";"44137";"False"
"CHEMBL2366755";"Human herpesvirus 2 strain G";"";"ORGANISM";"Human herpesvirus 2 strain G";"704";"825";"10314";"False"
"CHEMBL613132";"Human herpesvirus 3";"";"ORGANISM";"Human herpesvirus 3";"1549";"3340";"10335";"False"
"CHEMBL2366966";"Human poliovirus 1 strain Sabin";"";"ORGANISM";"Human poliovirus 1 strain Sabin";"242";"255";"12082";"False"
"CHEMBL613126";"Human parainfluenza virus 3";"";"ORGANISM";"Human parainfluenza virus 3";"1465";"1630";"11216";"False"
"CHEMBL613759";"Human rhinovirus 14";"";"ORGANISM";"Human rhinovirus 14";"605";"960";"12131";"False"
"CHEMBL612777";"Human coxsackievirus A24";"";"ORGANISM";"Human coxsackievirus A24";"11";"11";"12089";"False"
"CHEMBL613751";"Human echovirus 11";"";"ORGANISM";"Human echovirus 11";"17";"18";"12078";"False"
"CHEMBL612359";"Human immunodeficiency virus 3";"";"ORGANISM";"Human immunodeficiency virus 3";"102";"132";"35274";"False"
"CHEMBL612778";"Human coxsackievirus B6";"";"ORGANISM";"Human coxsackievirus B6";"56";"57";"74561";"False"
"CHEMBL4011";"Human immunodeficiency virus type 1 Tat protein";"P04608";"SINGLE PROTEIN";"Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)(HIV-1)";"1016";"1018";"11706";"False"
"CHEMBL2366867";"Human herpesvirus 3 strain Oka vaccine";"";"ORGANISM";"Human herpesvirus 3 strain Oka vaccine";"251";"286";"341980";"False"
"CHEMBL613556";"Human poliovirus 1";"";"ORGANISM";"Human poliovirus 1";"503";"611";"12080";"False"
"CHEMBL3556";"Human immunodeficiency virus type 1 Gag protein";"Q77YG1";"SINGLE PROTEIN";"Human immunodeficiency virus 1";"2";"4";"11676";"False"
"CHEMBL613551";"Human T-lymphotropic virus 1";"";"ORGANISM";"Human T-lymphotropic virus 1";"76";"114";"11908";"False"
"CHEMBL612527";"Human rhinovirus 39";"";"ORGANISM";"Human rhinovirus 39";"27";"46";"185907";"False"
"CHEMBL3886";"Mixed lineage kinase 7";"Q9NYL2";"SINGLE PROTEIN";"Homo sapiens";"962";"1094";"9606";"False"
"CHEMBL4013";"Human herpesvirus 4 protease/capsid scaffold protein";"P03234";"SINGLE PROTEIN";"Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)";"30";"30";"10377";"False"
"CHEMBL613204";"Human enterovirus 68";"";"ORGANISM";"Human enterovirus 68";"16";"17";"42789";"False"
"CHEMBL248";"Leukocyte elastase";"P08246";"SINGLE PROTEIN";"Homo sapiens";"4849";"7697";"9606";"False"
"CHEMBL4009";"Human herpesvirus 6 DNA polymerase";"P28857";"SINGLE PROTEIN";"Human herpesvirus 6A (strain Uganda-1102) (HHV-6 variant A) (Human Blymphotropic virus)";"36";"36";"10370";"False"
"CHEMBL613760";"Human rhinovirus 1A";"";"ORGANISM";"Human rhinovirus 1A";"148";"153";"12134";"False"
"CHEMBL612528";"Human rhinovirus 67";"";"ORGANISM";"Human rhinovirus 67";"14";"16";"185924";"False"
"CHEMBL370";"Human herpesvirus 2";"";"ORGANISM";"Human herpesvirus 2";"2436";"3747";"10310";"False"
"CHEMBL613756";"Human rhinovirus 89";"";"ORGANISM";"Human rhinovirus 89";"31";"34";"12132";"False"
"CHEMBL612478";"Human rhinovirus 63";"";"ORGANISM";"Human rhinovirus 63";"6";"7";"185921";"False"
"CHEMBL3771";"Human herpes virus 5 capsid protein P40";"P16753";"SINGLE PROTEIN";"Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)";"264";"342";"10360";"False"
"CHEMBL612474";"Human rhinovirus 22";"";"ORGANISM";"Human rhinovirus 22";"14";"16";"185896";"False"
"CHEMBL613886";"Simian-human immunodeficiency virus";"";"ORGANISM";"Simian-Human immunodeficiency virus";"1";"1";"57667";"False"
"CHEMBL613203";"Human echovirus 13";"";"ORGANISM";"Human echovirus 13";"7";"7";"47501";"False"
"CHEMBL613714";"African swine fever virus";"";"ORGANISM";"African swine fever virus";"22";"22";"10497";"False"
"CHEMBL613496";"Human herpesvirus 6";"";"ORGANISM";"Human herpesvirus 6";"49";"53";"10368";"False"
"CHEMBL613202";"Human coxsackievirus B2";"";"ORGANISM";"Human coxsackievirus B2";"325";"342";"82639";"False"
"CHEMBL378";"Human immunodeficiency virus 1";"";"ORGANISM";"Human immunodeficiency virus 1";"22694";"58160";"11676";"False"
"CHEMBL613365";"African green monkey";"";"ORGANISM";"Chlorocebus aethiops";"9";"96";"9534";"False"
"CHEMBL612529";"Human rhinovirus 85";"";"ORGANISM";"Human rhinovirus 85";"11";"12";"185937";"False"
"CHEMBL371";"Human herpesvirus 5";"";"ORGANISM";"Human herpesvirus 5";"2286";"3660";"10359";"False"
"CHEMBL613554";"Human coxsackievirus B3";"";"ORGANISM";"Human coxsackievirus B3";"668";"808";"12072";"False"
"CHEMBL613553";"Human coxsackievirus A21";"";"ORGANISM";"Human coxsackievirus A21";"5";"6";"12069";"False"
"CHEMBL613555";"Human coxsackievirus B5";"";"ORGANISM";"Human coxsackievirus B5";"410";"475";"12074";"False"
"CHEMBL613124";"Human herpesvirus 4";"";"ORGANISM";"Human herpesvirus 4";"566";"1467";"10376";"False"
"CHEMBL377";"Human herpesvirus 1";"";"ORGANISM";"Human herpesvirus 1";"4285";"7897";"10298";"False"
"CHEMBL613758";"Human immunodeficiency virus";"";"ORGANISM";"Human immunodeficiency virus";"1750";"3278";"12721";"False"
"CHEMBL612479";"Human rhinovirus 70";"";"ORGANISM";"Human rhinovirus 70";"6";"7";"185926";"False"
"CHEMBL612677";"Human coxsackievirus B1";"";"ORGANISM";"Human coxsackievirus B1";"114";"162";"12071";"False"
"CHEMBL612480";"Human rhinovirus 86";"";"ORGANISM";"Human rhinovirus 86";"20";"23";"185938";"False"
"CHEMBL4259";"Human herpesvirus 5 chemokine receptor";"P69332";"SINGLE PROTEIN";"Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)";"38";"84";"10360";"False"
"CHEMBL613769";"Human rhinovirus 16";"";"ORGANISM";"Human rhinovirus 16";"50";"66";"31708";"False"
"CHEMBL613123";"Human herpesvirus 5 strain AD169";"";"ORGANISM";"Human herpesvirus 5 strain AD169";"821";"1169";"10360";"False"
"CHEMBL612319";"Human papillomavirus";"";"ORGANISM";"Human papillomavirus";"55";"79";"10566";"False"
"CHEMBL3346";"Human T-cell leukemia virus type I protease";"P10274";"SINGLE PROTEIN";"Human T-cell leukemia virus 1 (strain Japan ATK-1 subtype A) (HTLV-1)";"38";"57";"11926";"False"
"CHEMBL613557";"Human poliovirus 3";"";"ORGANISM";"Human poliovirus 3";"149";"165";"12086";"False"
"CHEMBL612477";"Human rhinovirus 59";"";"ORGANISM";"Human rhinovirus 59";"4";"5";"185918";"False"
"CHEMBL4010";"Human herpesvirus 6 protease";"P24433";"SINGLE PROTEIN";"Human herpesvirus 6A (strain Uganda-1102) (HHV-6 variant A) (Human Blymphotropic virus)";"33";"33";"10370";"False"
"CHEMBL612466";"Human rhinovirus B";"";"ORGANISM";"Human rhinovirus B";"28";"28";"147712";"False"
"CHEMBL380";"Human immunodeficiency virus 2";"";"ORGANISM";"Human immunodeficiency virus 2";"1782";"2919";"11709";"False"
"CHEMBL612680";"Human parainfluenza virus 1";"";"ORGANISM";"Human parainfluenza virus 1";"9";"21";"12730";"False"
"CHEMBL4954";"Ephrin type-A receptor 3";"P29320";"SINGLE PROTEIN";"Homo sapiens";"761";"1387";"9606";"False"
"CHEMBL2363065";"Mitochondrial complex I (NADH dehydrogenase)";"P03923|O95299|O00217|P03901|P56556|P03886|O95139|O00483|Q86Y39|P17568|P03891|O75306|P03915|P51970|O43674|P03905|P03897|O14561|O15239|O43181|O43676|O43677|O43678|O43920|O75251|O75380|O75438|O75489|O95167|O95168|O95169|O95178|O95182|O95298|O96000|P19404|P28331|P49821|P56181|Q16718|Q16795|Q8N183|Q9BU61|Q9NRX3|Q9NX14|Q9P032|Q9P0J0|Q9UI09|Q9Y375|Q9Y6M9";"PROTEIN COMPLEX";"Homo sapiens";"13";"28";"9606";"False"
"CHEMBL613498";"Human immunodeficiency virus type 1 (RF/HAT ISOLATE)";"";"ORGANISM";"Human immunodeficiency virus type 1 (RF/HAT ISOLATE)";"76";"76";"11701";"False"
"CHEMBL1872";"Human herpesvirus 1 DNA polymerase";"P04293";"SINGLE PROTEIN";"Herpes simplex virus (type 1 / strain 17)";"82";"160";"10299";"False"
"CHEMBL612320";"Human coxsackievirus B4";"";"ORGANISM";"Human coxsackievirus B4";"1328";"2180";"12073";"False"
"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Q72874";"SINGLE PROTEIN";"Human immunodeficiency virus 1";"5454";"8241";"11676";"False"
"CHEMBL2857";"Human rhinovirus A protease";"Q4U254";"SINGLE PROTEIN";"Human rhinovirus sp.";"814";"1343";"169066";"False"
"CHEMBL612470";"Human rhinovirus sp.";"";"ORGANISM";"Human rhinovirus sp.";"502";"1564";"169066";"False"
"CHEMBL613752";"Human poliovirus 2";"";"ORGANISM";"Human poliovirus 2";"74";"141";"12083";"False"
"CHEMBL612525";"Human rhinovirus 15";"";"ORGANISM";"Human rhinovirus 15";"20";"23";"185894";"False"
"CHEMBL612403";"Human rhinovirus 29";"";"ORGANISM";"Human rhinovirus 29";"6";"7";"44129";"False"
"CHEMBL613552";"Human echovirus 9";"";"ORGANISM";"Human echovirus 9";"31";"41";"12060";"False"
"CHEMBL612371";"Human rhinovirus 21";"";"ORGANISM";"Human rhinovirus 21";"102";"106";"44128";"False"
"CHEMBL612436";"Human enterovirus 71";"";"ORGANISM";"Human enterovirus 71";"458";"684";"39054";"False"
"CHEMBL612464";"Human rhinovirus 45";"";"ORGANISM";"Human rhinovirus 45";"16";"17";"147676";"False"
"CHEMBL2366865";"Human immunodeficiency virus type 2 (ISOLATE ROD)";"";"ORGANISM";"Human immunodeficiency virus type 2 (ISOLATE ROD)";"2071";"2453";"11720";"False"
"CHEMBL3416";"Human herpesvirus 2 protease";"P89449";"SINGLE PROTEIN";"Human herpesvirus 2 (strain HG52) (HHV-2) (Human herpes simplex virus2)";"45";"45";"10315";"False"
"CHEMBL613713";"Human rhinovirus 1B";"";"ORGANISM";"Human rhinovirus 1B";"212";"351";"12129";"False"
"CHEMBL612780";"Human herpesvirus 8";"";"ORGANISM";"Human herpesvirus 8";"52";"66";"37296";"False"
"CHEMBL612473";"Human rhinovirus 9";"";"ORGANISM";"Human rhinovirus 9";"10";"11";"185891";"False"
"CHEMBL247";"Human immunodeficiency virus type 1 reverse transcriptase";"Q72547";"SINGLE PROTEIN";"Human immunodeficiency virus 1";"3525";"7531";"11676";"False"
"CHEMBL2367034";"Human herpesvirus 1 strain KOS";"";"ORGANISM";"Human herpesvirus 1 strain KOS";"1050";"2045";"10306";"False"
"CHEMBL615047";"Human metapneumovirus";"";"ORGANISM";"Human metapneumovirus";"6";"6";"162145";"False"
"CHEMBL612776";"Human adenovirus 37";"";"ORGANISM";"Human adenovirus 37";"17";"30";"52275";"False"
"CHEMBL615086";"Human coxsackievirus A9";"";"ORGANISM";"Human coxsackievirus A9";"5";"6";"12067";"False"
"CHEMBL615048";"Human rhinovirus strain Hanks";"";"ORGANISM";"Human rhinovirus strain Hanks";"1";"12";"167323";"False"
"CHEMBL612237";"Human adenovirus type 5";"";"ORGANISM";"Human adenovirus 5";"153";"315";"28285";"False"
"CHEMBL3471";"Human immunodeficiency virus type 1 integrase";"Q7ZJM1";"SINGLE PROTEIN";"Human immunodeficiency virus 1";"1542";"3328";"11676";"False"
"CHEMBL4609";"Human immunodeficiency virus type 1 Tat protein";"P04326";"SINGLE PROTEIN";"Human immunodeficiency virus type 1 group M subtype B (isolate PCV12)(HIV-1)";"71";"75";"11679";"False"
"CHEMBL612476";"Human rhinovirus 41";"";"ORGANISM";"Human rhinovirus 41";"23";"25";"185909";"False"
"CHEMBL612678";"Human rhinovirus 2";"";"ORGANISM";"Human rhinovirus 2";"199";"321";"12130";"False"
